,UMCSENT,UNEMPLOYMENT,CPI,GDP,HOUSINGPRICE,FEDFUNDS,SP500,DOLLAR,CPICHANGE,WAGES
1979-02-01,73.9,5.9,69.2,2526.61,91.41,10.06,98.2294737163343,88.24944347805447,0.010218978102189746,335.0
1979-03-01,68.4,5.8,69.9,2526.61,91.41,10.09,100.11227278275923,88.39545440673828,0.010115606936416333,335.0
1979-04-01,66.0,5.8,70.6,2591.247,94.5,10.01,102.06600036621094,89.4890007019043,0.010014306151645114,335.0
1979-05-01,68.1,5.6,71.4,2591.247,94.5,10.24,99.727727023038,90.31181820956144,0.011331444759206999,335.0
1979-06-01,65.8,5.7,72.2,2591.247,94.5,10.29,101.72761862618583,89.58095223563058,0.011204481792717047,335.0
1979-07-01,60.4,5.7,73.0,2667.565,96.49,10.47,102.71142832438152,86.93428584507534,0.011080332409972193,330.0
1979-08-01,64.5,6.0,73.7,2667.565,96.49,10.94,107.35608639924422,87.24478248927905,0.009589041095890538,330.0
1979-09-01,66.7,5.9,74.4,2667.565,96.49,11.43,108.59684231406764,86.73894701505962,0.009497964721845387,330.0
1979-10-01,62.1,6.0,75.2,2723.883,98.21,13.77,104.47304269541864,87.68545393510298,0.010752688172043001,326.0
1979-11-01,63.3,5.9,76.0,2723.883,98.21,13.18,103.66381000337147,88.1305264924702,0.010638297872340496,326.0
1979-12-01,61.0,6.0,76.9,2723.883,98.21,13.78,107.7759994506836,86.32500038146972,0.011842105263157876,326.0
1980-01-01,67.0,6.3,78.0,2789.842,100.0,13.82,110.86818140203303,85.51909047907048,0.014304291287386084,321.0
1980-02-01,66.9,6.3,79.0,2789.842,100.0,14.13,115.33900108337403,86.37526381643195,0.012820512820512775,321.0
1980-03-01,56.5,6.3,80.1,2789.842,100.0,17.19,104.68619065057663,90.29857090541294,0.013924050632911245,321.0
1980-04-01,52.7,6.9,80.9,2797.352,101.67,17.61,102.96666753859748,91.14909120039506,0.00998751560549338,315.0
1980-05-01,51.7,7.5,81.7,2797.352,101.67,10.98,107.69428543817429,86.96904790969123,0.009888751545117369,315.0
1980-06-01,58.7,7.6,82.5,2797.352,101.67,9.47,114.54666646321614,85.29190463111514,0.009791921664626724,315.0
