,UMCSENT,UNEMPLOYMENT,CPI,GDP,HOUSINGPRICE,FEDFUNDS,SP500,DOLLAR,CPICHANGE,WAGES
1980-07-01,62.3,7.8,82.6,2856.483,104.46,9.03,119.83272760564631,84.65681838989258,0.00121212121212122,319.0
1980-08-01,67.3,7.7,83.2,2856.483,104.46,9.61,123.49666631789435,86.09571402413505,0.007263922518159882,319.0
1980-09-01,73.7,7.5,83.9,2856.483,104.46,10.87,126.51190294538226,85.50047665550595,0.008413461538461675,319.0
1980-10-01,75.0,7.5,84.7,2985.557,104.57,12.81,130.22173840066662,86.60727240822531,0.009535160905840279,315.0
1980-11-01,76.7,7.5,85.6,2985.557,104.57,15.85,135.6544426812066,89.31470624138328,0.010625737898465104,315.0
1980-12-01,64.5,7.2,86.4,2985.557,104.57,18.9,133.48318204012784,90.99681784889914,0.009345794392523477,315.0
1981-01-01,71.4,7.5,87.2,3124.206,105.2,19.08,132.96571277436755,91.41523815336681,0.0092592592592593,314.0
1981-02-01,66.9,7.4,88.0,3124.206,105.2,15.93,128.3952656796104,96.03722042507596,0.00917431192660545,314.0
1981-03-01,66.5,7.4,88.6,3124.206,105.2,14.7,133.18499963933772,96.23636315085672,0.006818181818181834,314.0
1981-04-01,72.4,7.2,89.1,3162.532,107.42,15.72,134.42761811755952,98.81499862670898,0.0056433408577878375,311.0
1981-05-01,76.3,7.5,89.7,3162.532,107.42,18.52,131.72700042724608,103.61300086975098,0.006734006734006925,311.0
1981-06-01,73.1,7.5,90.5,3162.532,107.42,19.1,132.2777293812145,106.87045461481267,0.008918617614269708,311.0
1981-07-01,74.1,7.2,91.5,3260.609,108.86,19.04,129.1277268149636,109.8821729577106,0.011049723756906049,309.0
1981-08-01,77.2,7.4,92.2,3260.609,108.86,17.82,129.62952314104353,112.30904788062686,0.007650273224043769,309.0
1981-09-01,73.1,7.6,93.1,3260.609,108.86,15.87,118.26952398390998,108.02238101050968,0.009761388286333883,309.0
1981-10-01,70.3,7.9,93.4,3280.818,107.5,15.08,119.79772706465288,106.35714358375186,0.003222341568206444,312.0
1981-11-01,62.5,8.3,93.8,3280.818,107.5,13.31,122.9194995880127,104.53722254435222,0.004282655246252487,312.0
1981-12-01,64.3,8.5,94.1,3280.818,107.5,12.37,123.79409096457742,105.2213644547896,0.0031982942430703876,312.0
1982-01-01,71.0,8.6,94.4,3274.302,106.14,13.22,117.27650032043456,106.97300033569336,0.0031880977683316214,312.0
1982-02-01,66.5,8.9,94.7,3274.302,106.14,14.78,114.49526335063733,110.37499957614475,0.0031779661016948513,312.0
1982-03-01,62.0,9.0,94.7,3274.302,106.14,14.68,110.84217370074728,112.46304354460344,0.0,312.0
1982-04-01,65.5,9.3,95.0,3331.972,108.8,14.94,116.30714343843006,114.08181762695312,0.0031678986272438703,314.0
1982-05-01,67.5,9.4,95.9,3331.972,108.8,14.45,116.35299949645996,111.03750038146973,0.0094736842105263,314.0
1982-06-01,65.7,9.6,97.0,3331.972,108.8,14.15,109.69772720336914,117.03181873668323,0.011470281543274119,314.0
1982-07-01,65.4,9.8,97.5,3366.322,107.01,12.59,109.37666684105282,118.92380923316593,0.005154639175257714,311.0
1982-08-01,65.4,9.8,97.7,3366.322,107.01,10.12,109.65136406638406,119.64954653653231,0.002051282051282133,311.0
1982-09-01,69.3,10.1,97.7,3366.322,107.01,10.31,122.43333289736793,120.93904731387184,0.0,311.0
1982-10-01,73.4,10.4,98.1,3402.561,111.69,9.71,132.66047741117933,123.17950057983398,0.004094165813715467,313.0
1982-11-01,72.1,10.8,98.0,3402.561,111.69,9.2,138.10095287504652,124.29947341115852,-0.0010193679918449883,313.0
1982-12-01,71.9,10.8,97.7,3402.561,111.69,8.95,139.3659113103693,119.23565275772758,-0.003061224489795844,313.0
1983-01-01,70.4,10.4,97.9,3473.413,114.44,8.68,144.26714215959822,117.75428590320405,0.0020470829068577334,315.0
1983-02-01,74.6,10.4,98.0,3473.413,114.44,8.51,146.79684046695107,119.7068409166838,0.0010214504596526286,315.0
1983-03-01,80.8,10.3,98.1,3473.413,114.44,8.77,151.87652123492697,120.7265220310377,0.0010204081632652073,315.0
1983-04-01,89.1,10.2,98.8,3578.848,115.95,8.8,157.7120002746582,121.82999965122768,0.007135575942915473,314.0
1983-05-01,93.3,10.1,99.2,3578.848,115.95,8.63,164.0971432640439,122.06000082833427,0.004048582995951566,314.0
1983-06-01,92.2,10.1,99.4,3578.848,115.95,8.98,166.36909138072622,125.16272770274769,0.002016129032258007,314.0
1983-07-01,92.8,9.4,99.8,3689.179,116.97,9.37,166.95099868774415,126.62000045776367,0.004024144869215096,315.0
1983-08-01,90.9,9.5,100.1,3689.179,116.97,9.56,162.4178247866423,129.77565334154212,0.0030060120240480437,315.0
1983-09-01,89.9,9.2,100.4,3689.179,116.97,9.45,167.1604766845703,129.74238077799478,0.0029970029970030065,315.0
1983-10-01,89.3,8.8,100.8,3794.706,117.67,9.48,167.65428452264695,127.50700035095215,0.003984063745019917,312.0
1983-11-01,91.1,8.5,101.1,3794.706,117.67,9.34,165.23095194498697,130.26368311831826,0.0029761904761904656,312.0
1983-12-01,94.2,8.3,101.4,3794.706,117.67,9.47,164.37142799014137,132.84285627092635,0.0029673590504453173,312.0
1984-01-01,100.1,8.0,102.1,3908.054,119.44,9.56,166.39285641624815,135.07761855352493,0.006903353057199135,313.0
1984-02-01,97.4,7.8,102.6,3908.054,119.44,9.59,157.2505012512207,131.77157833701685,0.004897159647404559,313.0
1984-03-01,101.0,7.8,102.9,3908.054,119.44,9.91,157.4386381669478,128.07818152687767,0.0029239766081872176,313.0
1984-04-01,96.1,7.7,103.3,4009.601,121.05,10.29,157.60149917602538,129.9895004272461,0.0038872691933915515,312.0
1984-05-01,98.1,7.4,103.5,4009.601,121.05,10.32,156.55090886896306,133.99181712757456,0.0019361084220717029,312.0
1984-06-01,95.5,7.2,103.7,4009.601,121.05,11.06,153.12476094563803,134.33476112002418,0.0019323671497584183,312.0
1984-07-01,96.6,7.5,104.1,4084.25,122.17,11.23,151.07809593563988,139.3076171875,0.0038572806171648377,313.0
1984-08-01,99.1,7.5,104.4,4084.25,122.17,11.64,164.4208692467731,140.2095655358356,0.0028818443804035088,313.0
1984-09-01,100.9,7.3,104.7,4084.25,122.17,11.3,166.1126299406353,145.73421036569695,0.002873563218390718,313.0
1984-10-01,96.3,7.4,105.1,4148.551,123.16,9.99,164.81869440493375,147.5786361694336,0.0038204393505252288,316.0
1984-11-01,95.7,7.2,105.3,4148.551,123.16,9.43,166.27190508161272,144.9489456979852,0.0019029495718363432,316.0
1984-12-01,92.9,7.3,105.5,4148.551,123.16,8.38,164.48000106811523,149.24650039672852,0.0018993352326686086,316.0
1985-01-01,96.0,7.3,105.7,4230.168,124.91,8.35,171.6127270785245,152.83000110444567,0.0018957345971564177,314.0
1985-02-01,93.7,7.2,106.3,4230.168,124.91,8.5,180.88473751670435,158.49055565728082,0.005676442762535316,314.0
1985-03-01,93.7,7.2,106.8,4230.168,124.91,8.58,179.4199981689453,158.27571396600632,0.00470366886171214,314.0
1985-04-01,94.6,7.3,107.0,4294.887,126.78,8.27,180.61857023693267,149.61090989546344,0.0018726591760300781,323.0
1985-05-01,91.8,7.2,107.2,4294.887,126.78,7.97,184.89908946644175,149.95500113747337,0.0018691588785046953,323.0
1985-06-01,96.5,7.4,107.5,4294.887,126.78,7.53,188.8859992980957,147.71300048828124,0.002798507462686617,323.0
1985-07-01,94.0,7.4,107.7,4386.773,128.75,7.88,192.54454456676137,141.00636291503906,0.0018604651162790198,320.0
1985-08-01,92.4,7.1,107.9,4386.773,128.75,7.9,188.3063638860529,137.55863744562322,0.0018570102135562205,320.0
1985-09-01,92.1,7.1,108.1,4386.773,128.75,7.92,184.20579046952096,139.57473674573396,0.001853568118628246,320.0
1985-10-01,88.4,7.1,108.5,4444.094,130.19,7.99,186.18043451723844,130.71636269309303,0.0037002775208141436,320.0
1985-11-01,90.9,7.0,109.0,4444.094,130.19,8.05,197.44550018310548,127.97476123628162,0.004608294930875667,320.0
1985-12-01,93.9,7.0,109.5,4444.094,130.19,8.27,207.25761922200522,125.64409186623313,0.004587155963302836,320.0
1986-01-01,95.6,6.7,109.9,4507.894,132.72,8.14,208.19408971613103,123.57521720554517,0.0036529680365298134,321.0
1986-02-01,95.9,7.2,109.7,4507.894,132.72,7.86,219.36526168020148,118.67099952697754,-0.0018198362147406888,321.0
1986-03-01,95.1,7.2,109.1,4507.894,132.72,7.48,232.3270004272461,115.9076185680571,-0.005469462169553352,321.0
1986-04-01,96.2,7.1,108.7,4545.34,135.51,6.99,237.96772835471413,115.5109089938077,-0.0036663611365719273,328.0
1986-05-01,94.8,7.2,109.0,4545.34,135.51,6.85,238.45904758998327,113.3031813881614,0.002759889604415866,328.0
1986-06-01,99.3,7.2,109.4,4545.34,135.51,6.92,245.29571460542223,113.61666761125836,0.003669724770642313,328.0
1986-07-01,97.7,7.0,109.5,4607.669,137.57,6.56,240.17999891801313,110.2565221371858,0.000914076782449591,328.0
1986-08-01,94.9,6.9,109.6,4607.669,137.57,6.17,245.0009511311849,107.36666652134487,0.0009132420091324533,328.0
1986-09-01,91.9,7.0,110.0,4607.669,137.57,5.89,238.269047328404,107.00363644686612,0.0036496350364965124,328.0
1986-10-01,95.6,7.0,110.2,4657.627,139.7,5.85,237.35608706266984,106.44521729842477,0.001818181818181941,331.0
1986-11-01,91.4,6.9,110.4,4657.627,139.7,6.04,245.0926328960218,107.7369987487793,0.001814882032667997,331.0
1986-12-01,89.1,6.6,110.8,4657.627,139.7,6.91,248.60545418479225,106.41000034498131,0.0036231884057971175,331.0
1987-01-01,90.4,6.6,111.4,4722.156,142.47,6.43,264.51095145089283,101.03636481545188,0.005415162454873723,328.0
1987-02-01,90.2,6.6,111.8,4722.156,142.47,6.1,280.9342153448808,99.35800018310547,0.0035906642728904536,328.0
1987-03-01,90.8,6.6,112.2,4722.156,142.47,6.13,292.47136480158025,98.84999986128373,0.003577817531305927,328.0
1987-04-01,92.8,6.3,112.7,4806.16,144.68,6.37,289.3219052269345,96.92954496903853,0.004456327985739694,328.0
1987-05-01,91.1,6.3,113.0,4806.16,144.68,6.85,289.1154983520508,95.9585712977818,0.002661934338952898,328.0
1987-06-01,91.5,6.2,113.5,4806.16,144.68,6.73,301.3840900767933,97.67681815407492,0.004424778761061843,328.0
1987-07-01,93.7,6.1,113.8,4884.555,146.35,6.58,310.0872719504616,99.25260858950408,0.002643171806167466,330.0
1987-08-01,94.4,6.0,114.3,4884.555,146.35,6.73,329.35809326171875,99.37999979654948,0.004393673110720586,330.0
1987-09-01,93.6,5.9,114.7,4884.555,146.35,7.22,318.6609511602493,97.09409020163797,0.0034995625546807574,330.0
1987-10-01,89.3,6.0,115.0,5007.994,147.3,7.29,280.1640916304155,96.51590832796964,0.0026155187445509043,328.0
1987-11-01,83.1,5.8,115.4,5007.994,147.3,6.69,245.0085006713867,91.31904783703033,0.003478260869565375,328.0
1987-12-01,86.8,5.7,115.6,5007.994,147.3,6.77,240.9559097290039,88.59434807818869,0.0017331022530329143,328.0
1988-01-01,90.8,5.7,116.0,5073.372,149.6,6.83,250.47650299072265,89.09380849202473,0.0034602076124568004,329.0
1988-02-01,91.6,5.7,116.2,5073.372,149.6,6.58,258.12799911499025,91.0509523664202,0.0017241379310344307,329.0
1988-03-01,94.6,5.7,116.5,5073.372,149.6,6.58,265.7373922596807,89.61739017652428,0.002581755593803692,329.0
1988-04-01,91.2,5.4,117.2,5190.036,152.6,6.87,262.6154983520508,88.90952446347191,0.006008583690987113,325.0
1988-05-01,94.8,5.6,117.5,5190.036,152.6,7.09,256.12381126767116,89.70545473965731,0.0025597269624573205,325.0
1988-06-01,94.7,5.4,118.0,5190.036,152.6,7.51,270.6827281605114,92.48318204012784,0.004255319148936065,325.0
1988-07-01,93.4,5.4,118.5,5282.835,154.19,7.75,269.0494979858398,96.42380886986142,0.004237288135593209,325.0
1988-08-01,97.4,5.6,119.0,5282.835,154.19,8.01,263.7265187139096,98.15739142376444,0.00421940928270037,325.0
1988-09-01,97.3,5.4,119.5,5282.835,154.19,8.19,267.9700012207031,97.74590960415927,0.004201680672268893,325.0
1988-10-01,94.1,5.4,119.9,5399.509,155.59,8.3,277.39571562267486,95.11571539015998,0.0033472803347280866,324.0
1988-11-01,93.0,5.3,120.3,5399.509,155.59,8.35,271.02428763253346,91.71136370572177,0.0033361134278564464,324.0
1988-12-01,91.9,5.3,120.7,5399.509,155.59,8.76,276.51475888206846,91.83272760564631,0.0033250207813799726,324.0
1989-01-01,97.9,5.4,121.2,5511.253,157.41,9.12,285.413812546503,94.93227282437411,0.0041425020712511085,323.0
1989-02-01,95.4,5.2,121.6,5511.253,157.41,9.36,294.0110521818462,95.63699989318847,0.0033003300330032292,323.0
1989-03-01,94.3,5.0,122.2,5511.253,157.41,9.85,292.7131819291548,96.90739009691322,0.00493421052631593,323.0
1989-04-01,91.5,5.2,123.1,5612.463,159.57,9.84,302.2509963989258,97.133500289917,0.0073649754500817455,322.0
1989-05-01,90.7,5.2,123.7,5612.463,159.57,9.81,313.92999961159444,100.83000017249066,0.004874086108854758,322.0
1989-06-01,90.6,5.3,124.1,5612.463,159.57,9.53,323.7277277166193,102.90954520485617,0.003233629749393563,322.0
1989-07-01,92.0,5.2,124.5,5695.365,162.97,9.24,331.92650146484374,99.08476220993768,0.003223207091055613,322.0
1989-08-01,89.6,5.2,124.5,5695.365,162.97,8.99,346.60782656462294,100.4721739395805,0.0,322.0
1989-09-01,95.8,5.3,124.8,5695.365,162.97,9.02,347.3295013427734,101.77285766601562,0.002409638554216942,322.0
1989-10-01,93.9,5.3,125.4,5747.237,164.32,8.84,347.3972722833807,98.86954498291016,0.004807692307692291,322.0
1989-11-01,90.9,5.4,125.9,5747.237,164.32,8.55,340.2190450032552,97.84590981223367,0.003987240829345984,322.0
1989-12-01,90.5,5.4,126.3,5747.237,164.32,8.45,348.57200012207034,94.67809549967448,0.003177124702144596,322.0
1990-01-01,93.0,5.4,127.5,5872.701,165.25,8.23,339.9718184037642,92.95521744437839,0.009501187648456089,319.0
1990-02-01,89.5,5.3,128.0,5872.701,165.25,8.24,330.45263511256167,92.19100151062011,0.0039215686274509665,319.0
1990-03-01,91.3,5.2,128.6,5872.701,165.25,8.28,338.46500049937856,93.98681883378462,0.004687499999999956,319.0
1990-04-01,93.9,5.4,128.9,5960.028,165.94,8.26,338.1779983520508,93.36523764474052,0.002332814930015692,319.0
1990-05-01,90.6,5.4,129.1,5960.028,165.94,8.18,350.2500013871626,91.98173921004586,0.0015515903801395226,319.0
1990-06-01,88.3,5.2,129.9,5960.028,165.94,8.29,360.3866664341518,92.31999969482422,0.006196746707978429,319.0
1990-07-01,88.2,5.5,130.5,6015.116,166.97,8.15,360.0309520903088,89.57227221402255,0.004618937644341736,313.0
1990-08-01,76.4,5.7,131.6,6015.116,166.97,8.13,330.7465196692425,86.48043524700662,0.008429118773946254,313.0
1990-09-01,72.8,5.9,132.5,6015.116,166.97,8.2,315.40684268349094,86.01000022888184,0.006838905775075954,313.0
1990-10-01,63.9,5.9,133.4,6004.733,166.32,8.11,307.1247850501019,83.31434730861498,0.006792452830188811,312.0
1990-11-01,66.0,6.2,133.7,6004.733,166.32,7.81,315.2909531366257,82.00545467029919,0.002248875562218755,312.0
1990-12-01,65.5,6.3,134.2,6004.733,166.32,7.31,328.74950256347654,83.24571337018695,0.0037397157816005944,312.0
1991-01-01,66.8,6.4,134.7,6035.178,167.69,6.91,325.4854555996981,83.38217395284902,0.0037257824143070994,316.0
1991-02-01,70.4,6.6,134.8,6035.178,167.69,6.25,362.2631578947368,82.03799934387207,0.0007423904974017681,316.0
1991-03-01,87.7,6.8,134.8,6035.178,167.69,6.12,372.2789993286133,88.07142893473308,0.0,316.0
1991-04-01,81.8,6.7,135.1,6126.862,168.81,5.91,379.6786360307173,91.27636302601208,0.002225519287833766,312.0
1991-05-01,78.3,6.9,135.6,6126.862,168.81,5.78,377.9922721169212,92.11869579812755,0.0037009622501851247,312.0
1991-06-01,82.1,6.9,136.0,6126.862,168.81,5.9,378.2929992675781,95.09400062561035,0.002949852507374784,312.0
1991-07-01,82.9,6.8,136.2,6205.937,169.14,5.82,380.2268177379261,95.23608696979025,0.0014705882352941124,312.0
1991-08-01,82.0,6.9,136.6,6205.937,169.14,5.66,389.4031788219105,93.38454506613992,0.002936857562408246,312.0
1991-09-01,83.0,6.9,137.0,6205.937,169.14,5.45,387.19850006103513,91.17523774646577,0.002928257686676483,312.0
1991-10-01,78.3,7.0,137.2,6264.54,171.5,5.21,386.88347990616506,90.65521671461022,0.0014598540145984717,313.0
1991-11-01,69.1,7.0,137.8,6264.54,171.5,4.81,385.919499206543,87.96666681198846,0.004373177842565745,313.0
1991-12-01,68.2,7.3,138.2,6264.54,171.5,4.43,388.5104762486049,85.4495454268022,0.002902757619738683,313.0
1992-01-01,67.5,7.3,138.3,6363.102,172.82,4.03,416.0749969482422,85.92521766994311,0.0007235890014474222,315.0
1992-02-01,68.8,7.4,138.6,6363.102,172.82,4.06,412.55579095137745,87.97999954223633,0.002169197396963085,315.0
1992-03-01,76.0,7.4,139.1,6363.102,172.82,3.98,407.3645449551669,90.30363672429866,0.003607503607503615,315.0
1992-04-01,77.2,7.4,139.4,6470.763,172.78,3.73,407.40714372907365,89.77090974287553,0.0021567217828901697,313.0
1992-05-01,79.2,7.6,139.7,6470.763,172.78,3.82,414.814501953125,88.18380955287388,0.002152080344332674,313.0
1992-06-01,80.4,7.8,140.1,6470.763,172.78,3.76,408.2745472301136,85.81545500321822,0.0028632784538296097,313.0
1992-07-01,76.6,7.7,140.5,6566.641,174.76,3.25,415.0513638583097,82.4060874607252,0.002855103497501732,314.0
1992-08-01,76.1,7.6,140.8,6566.641,174.76,3.3,417.9271429152716,80.83428664434524,0.002135231316725994,314.0
1992-09-01,75.6,7.6,141.1,6566.641,174.76,3.22,418.4771423339844,81.72590879960494,0.0021306818181816567,314.0
1992-10-01,73.3,7.3,141.7,6680.803,175.63,3.1,412.5027285489169,84.95454545454545,0.00425230333097093,312.0
1992-11-01,85.3,7.4,142.1,6680.803,175.63,3.09,422.8439971923828,89.92428625197638,0.0028228652081863093,312.0
1992-12-01,91.0,7.4,142.3,6680.803,175.63,2.92,435.6395457874645,90.42652196469514,0.0014074595355384467,312.0
1993-01-01,89.3,7.3,142.8,6729.459,175.71,3.02,435.22899932861327,92.25952439081101,0.0035137034434293835,315.0
1993-02-01,86.6,7.1,143.1,6729.459,175.71,3.03,441.70368074115953,93.77849960327148,0.0021008403361342243,315.0
1993-03-01,85.9,7.0,143.3,6729.459,175.71,3.07,450.15521638289744,93.54260884160581,0.0013976240391335715,315.0
1993-04-01,85.6,7.1,143.8,6808.939,177.39,2.96,443.0776207333519,90.42636316472834,0.0034891835310537633,317.0
1993-05-01,80.3,7.1,144.2,6808.939,177.39,3.0,445.24649810791016,90.05428568522136,0.0027816411682890507,317.0
1993-06-01,81.5,7.0,144.3,6808.939,177.39,3.04,448.0595439564098,91.6809099370783,0.0006934812760057696,317.0
1993-07-01,77.0,6.9,144.5,6882.098,178.83,3.06,447.28618803478423,94.38681897250089,0.001386001386001201,319.0
1993-08-01,77.3,6.8,144.8,6882.098,178.83,3.03,454.1277285489169,94.15954520485617,0.0020761245674740803,319.0
1993-09-01,77.9,6.7,145.0,6882.098,178.83,3.09,459.23523385184154,91.9068190834739,0.0013812154696131174,319.0
1993-10-01,82.7,6.8,145.6,7013.738,180.3,2.99,463.8999968029204,93.1461900983538,0.004137931034482678,319.0
1993-11-01,81.2,6.6,146.0,7013.738,180.3,3.02,462.8904753185454,95.35272667624734,0.0027472527472527375,319.0
1993-12-01,88.2,6.5,146.3,7013.738,180.3,2.96,465.94545676491475,95.63304403553839,0.00205479452054802,319.0
1994-01-01,94.3,6.6,146.3,7115.652,181.43,3.05,472.9928574335007,96.41809554327102,0.0,316.0
1994-02-01,93.2,6.6,146.7,7115.652,181.43,3.25,471.5799994217722,95.59650039672852,0.002734107997265811,316.0
1994-03-01,91.5,6.5,147.1,7115.652,181.43,3.34,463.8078268299932,94.22739145030145,0.0027266530334015826,316.0
1994-04-01,92.6,6.4,147.2,7246.931,182.5,3.56,447.2321070620888,94.22142900739398,0.0006798096532969478,317.0
1994-05-01,92.8,6.1,147.5,7246.931,182.5,4.01,450.89857264927457,92.67181812633167,0.0020380434782609758,317.0
1994-06-01,91.2,6.1,147.9,7246.931,182.5,4.25,454.825908314098,91.46409052068537,0.0027118644067796183,317.0
1994-07-01,89.0,6.1,148.4,7331.075,183.26,4.26,451.40099945068357,89.1009521484375,0.0033806626098715764,314.0
1994-08-01,91.7,6.0,149.0,7331.075,183.26,4.47,464.2430459727412,89.10956540315047,0.0040431266846361336,314.0
1994-09-01,91.5,5.9,149.3,7331.075,183.26,4.73,466.9580920991443,87.97499916770242,0.002013422818792021,314.0
1994-10-01,92.7,5.8,149.4,7455.288,183.1,4.76,463.81380934942337,86.5528571719215,0.0006697923643670389,314.0
1994-11-01,91.6,5.6,149.8,7455.288,183.1,5.29,461.0152398972284,87.70681762695312,0.0026773761713521083,314.0
1994-12-01,95.1,5.5,150.1,7455.288,183.1,5.45,455.1866643996466,89.49818108298562,0.0020026702269690944,314.0
1995-01-01,97.6,5.6,150.5,7522.289,184.06,5.53,465.25,88.17045454545455,0.0026648900732844094,313.0
1995-02-01,95.1,5.4,150.9,7522.289,184.06,5.92,481.92473722759047,87.10750045776368,0.0026578073089700283,313.0
1995-03-01,90.3,5.4,151.2,7522.289,184.06,5.98,493.1530469811481,83.53217481530231,0.001988071570576455,313.0
1995-04-01,92.5,5.8,151.8,7580.997,187.09,6.05,507.9057906301398,81.62000007629395,0.003968253968254176,314.0
1995-05-01,89.8,5.6,152.1,7580.997,187.09,6.01,523.8136402476918,82.57782645847486,0.0019762845849802257,314.0
1995-06-01,92.7,5.6,152.4,7580.997,187.09,6.0,539.3540843616832,82.07954614812678,0.0019723865877712132,314.0
1995-07-01,94.4,5.7,152.6,7683.125,189.97,5.85,557.3664978027343,81.73142932710194,0.001312335958005173,317.0
1995-08-01,96.2,5.7,152.9,7683.125,189.97,5.74,559.1100012737771,84.48913109820822,0.001965923984272644,317.0
1995-09-01,88.9,5.6,153.1,7683.125,189.97,5.8,578.765493774414,85.56666673932757,0.001308044473512071,317.0
1995-10-01,90.2,5.5,153.5,7772.586,191.43,5.76,582.9181823730469,83.9490914778276,0.0026126714565644082,313.0
1995-11-01,88.2,5.6,153.7,7772.586,191.43,5.8,595.5323806036087,84.04409165815873,0.0013029315960910726,313.0
1995-12-01,91.0,5.6,153.9,7772.586,191.43,5.6,614.5709991455078,84.93809509277344,0.0013012361743658385,313.0
1996-01-01,89.3,5.6,154.7,7868.468,193.58,5.56,614.4200051047585,86.0430437170941,0.005198180636777128,312.0
1996-02-01,88.5,5.5,155.0,7868.468,193.58,5.22,649.5420043945312,86.22095380510602,0.0019392372333548735,312.0
1996-03-01,93.7,5.5,155.5,7868.468,193.58,5.31,647.0747593470982,86.44285765148345,0.003225806451612856,312.0
1996-04-01,92.7,5.6,156.1,8032.84,193.89,5.22,647.1728544689361,87.36727246371183,0.0038585209003214604,312.0
1996-05-01,89.4,5.6,156.4,8032.84,193.89,5.24,661.2304548783736,88.221737737241,0.0019218449711724261,312.0
1996-06-01,92.4,5.3,156.7,8032.84,193.89,5.27,668.4989929199219,88.03150062561035,0.0019181585677747748,312.0
1996-07-01,94.7,5.5,157.0,8131.408,194.76,5.4,644.0704539905895,87.13130453358526,0.0019144862795150708,314.0
1996-08-01,95.3,5.1,157.2,8131.408,194.76,5.22,662.6822787198154,86.4122727134011,0.001273885350318471,314.0
1996-09-01,94.7,5.2,157.7,8131.408,194.76,5.3,674.885498046875,87.33190482003349,0.0031806615776082126,314.0
1996-10-01,96.5,5.2,158.2,8259.771,196.28,5.24,701.4556539784307,87.89478235659392,0.003170577045022105,313.0
1996-11-01,99.2,5.4,158.7,8259.771,196.28,5.31,735.6690063476562,86.91095152355376,0.003160556257901348,313.0
1996-12-01,96.9,5.4,159.1,8259.771,196.28,5.29,743.249040876116,88.61772710626775,0.002520478890989386,313.0
1997-01-01,97.4,5.3,159.4,8362.655,197.91,5.25,766.216816295277,90.82565241274627,0.0018856065367693908,313.0
1997-02-01,99.7,5.2,159.7,8362.655,197.91,5.19,798.3842163085938,94.40250015258789,0.0018820577164364583,313.0
1997-03-01,100.0,5.2,159.8,8362.655,197.91,5.39,792.1555023193359,95.46095275878906,0.0006261740763933155,313.0
1997-04-01,101.4,5.1,159.9,8518.825,199.54,5.51,763.9281865900213,96.272272976962,0.0006257822277846437,314.0
1997-05-01,103.2,4.9,159.9,8518.825,199.54,5.5,833.0914306640625,95.09863662719727,0.0,314.0
1997-06-01,104.5,5.0,160.2,8518.825,199.54,5.56,876.2861909412202,95.31904820033482,0.0018761726078797558,314.0
1997-07-01,107.1,4.9,160.4,8662.823,202.25,5.52,925.2945445667614,97.35130442743716,0.0012484394506866447,314.0
1997-08-01,104.4,4.8,160.8,8662.823,202.25,5.54,927.7357119605655,99.85047621954055,0.0024937655860348684,314.0
1997-09-01,106.0,4.9,161.2,8662.823,202.25,5.54,937.0242861793155,98.22545450383967,0.0024875621890545485,314.0
1997-10-01,105.6,4.7,161.5,8765.907,204.88,5.5,951.1595618206521,96.94913051439369,0.0018610421836229296,314.0
1997-11-01,107.2,4.6,161.7,8765.907,204.88,5.52,938.9236899928043,96.27600021362305,0.0012383900928791824,314.0
